Date,AMZN,BA,DIS,IBM,KO,MSFT
2013-12-31,398.79,117.86,71.17,151.07,34.85,32.91
2014-01-02,397.97,118.01,71.05,149.42,34.3,32.69
2014-01-03,396.44,118.83,70.9,150.32,34.13,32.47
2014-01-06,393.63,119.52,70.63,149.8,33.97,31.78
2014-01-07,398.03,121.33,71.12,152.79,34.08,32.03
2014-01-08,401.92,121.6,70.07,151.39,33.7,31.46
2014-01-09,401.01,122.73,69.77,150.91,33.52,31.26
2014-01-10,397.66,122.53,70.23,150.82,33.86,31.71
2014-01-13,390.98,121.49,68.26,148.32,33.35,30.77
2014-01-14,397.54,120.9,69.35,149.74,33.48,31.48
2014-01-15,395.87,121.43,69.2,151.2,33.54,32.34
2014-01-16,395.8,121.07,69.13,152.03,33.5,32.45
2014-01-17,399.61,121.29,68.92,153.1,33.14,32.0
2014-01-21,407.05,122.33,69.12,151.76,33.68,31.82
2014-01-22,404.54,124.66,70.16,146.78,33.66,31.61
2014-01-23,399.87,122.02,69.67,147.17,33.11,31.72
2014-01-24,387.6,118.0,67.74,144.68,32.77,32.38
2014-01-27,386.28,118.61,67.31,143.28,32.67,31.7
2014-01-28,394.43,118.38,67.89,142.43,32.79,31.91
2014-01-29,384.2,112.07,66.45,142.07,31.97,32.25
2014-01-30,403.01,109.26,68.21,142.84,32.2,32.43
2014-01-31,358.69,108.16,67.64,142.3,31.91,33.29
2014-02-03,346.15,106.28,65.2,139.25,31.38,32.09
2014-02-04,347.95,105.38,66.19,139.2,31.62,31.98
2014-02-05,346.45,104.83,66.85,140.33,31.73,31.51
2014-02-06,354.59,105.93,70.39,141.45,32.08,31.83
2014-02-07,361.08,109.68,70.49,143.54,32.02,32.16
2014-02-10,360.87,109.8,71.79,143.45,32.54,32.37
2014-02-11,361.79,112.39,72.47,145.52,32.6,32.7
2014-02-12,349.25,111.26,72.58,145.96,32.49,32.96
2014-02-13,357.2,112.45,72.57,147.25,32.61,33.09
2014-02-14,357.35,113.03,73.81,148.75,32.84,33.1
2014-02-18,353.65,113.44,74.13,148.35,31.61,33.17
2014-02-19,347.38,111.49,73.47,148.15,31.3,33.25
2014-02-20,349.8,112.51,73.77,149.21,31.47,33.46
2014-02-21,346.76,111.39,74.65,148.02,31.37,33.66
2014-02-24,351.78,112.53,75.21,148.56,31.64,33.41
2014-02-25,358.32,110.09,74.72,148.38,31.86,33.27
2014-02-26,359.8,109.94,74.6,149.05,31.95,33.21
2014-02-27,360.13,111.64,74.97,150.03,32.12,33.56
2014-02-28,362.1,111.95,75.28,149.95,32.23,33.95
2014-03-03,359.78,111.34,74.02,149.21,32.16,33.49
2014-03-04,363.9,113.09,76.12,150.98,32.32,34.04
2014-03-05,372.37,111.84,77.02,151.55,32.35,33.78
2014-03-06,372.16,111.9,77.64,151.95,32.46,33.81
2014-03-07,372.06,111.62,76.58,151.98,32.52,33.59
2014-03-10,370.53,110.19,76.36,150.94,32.61,33.52
2014-03-11,368.82,109.13,75.5,151.24,32.73,33.7
2014-03-12,370.64,108.05,75.81,150.8,32.71,33.92
2014-03-13,371.51,105.85,74.46,148.92,32.29,33.58
2014-03-14,373.74,106.91,74.59,147.55,32.46,33.41
2014-03-17,375.04,108.91,75.82,150.47,32.54,33.72
2014-03-18,378.77,107.71,76.38,151.28,32.65,35.05
2014-03-19,373.23,106.15,75.01,149.58,32.43,34.81
2014-03-20,368.97,107.44,75.28,152.16,32.7,35.75
2014-03-21,360.62,106.44,74.85,151.17,32.69,35.59
2014-03-24,351.85,107.17,74.05,152.45,32.65,35.9
2014-03-25,354.71,107.7,74.11,157.94,32.84,35.75
2014-03-26,343.41,107.27,73.24,155.98,32.83,35.27
2014-03-27,338.47,106.99,73.11,153.73,33.01,34.89
2014-03-28,338.29,108.08,73.58,154.23,33.12,35.72
2014-03-31,336.37,108.97,74.59,155.88,32.87,36.33
2014-04-01,342.99,111.33,75.99,157.51,32.66,36.71
2014-04-02,341.96,111.42,76.08,156.74,32.59,36.65
2014-04-03,333.62,111.83,76.1,156.04,32.37,36.35
2014-04-04,323.0,110.61,74.93,155.3,32.5,35.34
2014-04-07,317.76,109.06,73.71,157.52,32.84,35.28
2014-04-08,327.07,107.81,74.12,156.53,33.08,35.29
2014-04-09,331.81,110.18,74.96,159.24,33.15,35.87
2014-04-10,317.11,107.37,72.21,158.46,33.07,34.89
2014-04-11,311.73,106.0,71.74,158.07,32.85,34.75
2014-04-14,315.91,107.03,72.31,160.15,32.93,34.73
2014-04-15,316.08,107.91,72.35,159.55,34.17,35.23
2014-04-16,323.68,109.45,73.55,159.05,34.52,35.81
2014-04-17,324.91,111.08,74.52,153.87,34.63,35.46
2014-04-21,330.87,111.0,73.7,155.7,34.65,35.4
2014-04-22,329.32,110.76,74.01,155.6,34.62,35.44
2014-04-23,324.58,113.44,74.08,155.26,34.63,35.18
2014-04-24,337.15,112.77,74.14,154.04,34.61,35.33
2014-04-25,303.83,111.72,72.88,153.56,34.87,35.37
2014-04-28,296.58,110.32,72.46,156.41,34.89,36.22
2014-04-29,300.38,111.47,73.26,158.0,34.5,35.9
2014-04-30,304.13,112.04,73.91,159.1,34.69,35.81
2014-05-01,307.89,111.55,74.12,156.72,34.68,35.45
2014-05-02,308.01,112.84,74.81,155.03,34.82,35.18
2014-05-05,310.05,114.59,75.66,154.88,34.66,34.95
2014-05-06,297.38,113.61,75.48,153.89,34.43,34.62
2014-05-07,292.71,113.83,74.8,154.19,34.79,34.94
2014-05-08,288.32,114.02,76.02,153.87,34.63,35.13
2014-05-09,292.24,114.48,76.34,154.82,34.75,35.05
2014-05-12,302.86,115.79,76.78,156.85,34.71,35.43
2014-05-13,304.64,116.53,76.46,156.54,34.96,36.08
2014-05-14,297.62,116.13,75.38,153.72,34.77,35.92
2014-05-15,295.19,114.58,74.66,151.88,34.46,35.35
2014-05-16,297.7,114.23,74.89,152.36,34.77,35.55
2014-05-19,296.76,114.7,75.5,152.32,34.62,35.48
2014-05-20,301.19,113.15,75.54,150.6,34.51,35.42
2014-05-21,305.01,114.36,76.57,151.82,34.75,36.02
2014-05-22,304.91,115.13,76.71,151.24,34.51,35.79
2014-05-23,312.24,115.63,77.62,151.45,34.51,35.81
2014-05-27,310.82,117.16,78.01,150.51,34.67,35.87
2014-05-28,310.16,117.3,77.88,149.12,34.51,35.71
2014-05-29,313.78,118.01,78.28,149.68,34.57,36.01
2014-05-30,312.55,118.11,78.26,150.16,34.79,36.54
2014-06-02,308.84,118.67,78.5,151.25,34.74,36.41
2014-06-03,307.19,118.66,78.14,150.17,34.76,35.96
2014-06-04,306.78,118.18,78.47,150.29,34.69,35.99
2014-06-05,323.57,119.48,78.98,151.48,34.77,36.78
2014-06-06,329.67,120.73,78.82,151.8,34.86,37.02
2014-06-09,327.5,120.47,79.63,151.68,34.79,36.84
2014-06-10,332.41,119.85,78.95,150.11,34.92,36.69
2014-06-11,335.2,117.1,78.54,148.45,34.74,36.47
2014-06-12,325.91,115.43,77.13,147.61,34.63,36.22
2014-06-13,326.27,115.52,77.13,148.7,34.59,36.8
2014-06-16,327.62,115.74,77.6,148.53,34.83,37.04
2014-06-17,325.62,115.66,77.47,148.45,35.06,37.2
2014-06-18,334.38,115.69,77.86,149.55,35.61,37.18
2014-06-19,327.0,115.98,78.04,148.91,35.8,37.05
2014-06-20,324.2,115.36,77.15,147.88,35.72,37.2
2014-06-23,327.24,114.26,77.1,148.36,35.75,37.48
2014-06-24,324.16,112.78,77.02,147.33,35.85,37.26
2014-06-25,327.44,110.95,78.16,147.2,35.95,37.51
2014-06-26,325.69,111.79,78.67,146.91,36.01,37.24
2014-06-27,324.57,112.25,79.46,148.01,36.15,37.71
2014-06-30,324.78,111.1,79.87,147.65,36.29,37.22
2014-07-01,332.39,111.91,80.55,151.79,36.23,37.37
2014-07-02,332.85,111.44,80.52,153.45,36.23,37.4
2014-07-03,337.49,112.22,80.9,153.56,36.18,37.31
2014-07-07,333.55,112.73,80.66,153.16,36.1,37.48
2014-07-08,323.81,110.72,79.98,152.49,35.93,37.29
2014-07-09,329.97,110.72,81.25,153.47,35.94,37.19
2014-07-10,327.92,110.72,80.92,152.89,36.21,37.21
2014-07-11,346.2,111.85,80.94,153.13,35.96,37.57
2014-07-14,355.32,113.1,80.82,154.64,36.31,37.61
2014-07-15,354.44,112.74,80.25,153.53,36.07,37.89
2014-07-16,355.9,111.27,79.51,156.68,36.09,39.34
2014-07-17,352.45,109.92,79.21,156.79,36.0,39.75
2014-07-18,358.66,111.46,79.94,156.79,36.35,39.89
2014-07-21,359.76,112.04,79.87,155.45,36.33,40.02
2014-07-22,360.84,113.29,80.31,158.09,35.29,40.01
2014-07-23,358.14,110.65,80.15,157.72,34.96,40.05
2014-07-24,358.61,108.63,80.86,159.03,35.1,39.63
2014-07-25,324.01,107.58,80.33,158.34,35.13,39.72
2014-07-28,320.41,107.46,81.19,159.47,34.85,39.25
2014-07-29,320.0,106.82,80.3,158.48,34.57,39.18
2014-07-30,322.51,106.79,81.24,158.02,33.94,38.9
2014-07-31,312.99,105.21,80.0,156.12,33.66,38.52
2014-08-01,307.06,105.12,79.54,154.07,33.66,38.26
2014-08-04,313.65,104.73,81.27,154.47,33.76,38.71
2014-08-05,312.32,105.9,80.81,152.4,33.57,38.45
2014-08-06,313.89,103.97,80.66,152.37,34.2,38.15
2014-08-07,311.45,105.28,79.66,151.0,33.71,38.59
2014-08-08,316.8,105.98,80.91,152.91,33.8,38.56
2014-08-11,318.33,106.13,81.51,153.6,33.9,38.56
2014-08-12,319.32,105.84,81.24,153.49,34.0,38.84
2014-08-13,326.28,107.16,81.6,153.99,34.22,39.34
2014-08-14,333.21,109.03,82.55,153.94,34.42,39.51
2014-08-15,333.63,108.2,83.17,153.53,35.02,39.98
2014-08-18,334.53,109.8,83.81,155.15,35.43,40.26
2014-08-19,335.13,110.33,83.92,155.73,35.35,40.71
2014-08-20,335.78,111.88,83.69,155.76,35.34,40.37
2014-08-21,332.91,112.01,84.19,156.68,35.48,40.61
2014-08-22,331.59,111.98,84.3,156.01,35.23,40.55
2014-08-25,334.02,112.74,84.19,156.62,35.48,40.57
2014-08-26,341.83,112.98,83.86,158.12,35.64,40.43
2014-08-27,343.18,112.63,84.19,157.52,35.64,40.3
2014-08-28,340.02,111.67,84.05,157.31,35.67,40.31
2014-08-29,339.04,111.4,83.73,157.56,35.74,40.8
2014-09-02,342.38,110.24,84.59,156.95,35.67,40.5
2014-09-03,339.0,110.64,84.72,157.27,35.79,40.38
2014-09-04,345.95,110.22,83.97,156.23,35.87,40.65
2014-09-05,346.38,109.54,84.72,156.66,35.85,41.23
2014-09-08,342.34,112.43,84.36,155.79,35.79,41.74
2014-09-09,329.75,112.64,83.47,155.67,35.93,42.0
2014-09-10,331.33,112.65,83.39,156.94,36.13,42.07
2014-09-11,330.52,112.14,83.81,157.08,36.2,42.21
2014-09-12,331.19,111.53,83.53,156.72,35.78,41.94
2014-09-15,323.89,110.97,83.92,157.16,35.81,41.53
2014-09-16,327.76,111.85,84.09,158.1,35.93,42.0
2014-09-17,324.0,112.24,84.15,157.97,35.91,41.78
2014-09-18,325.0,112.96,84.16,158.75,36.06,41.93
2014-09-19,331.32,113.64,84.3,158.95,36.29,42.68
2014-09-22,324.5,112.99,83.18,158.22,36.43,42.27
2014-09-23,323.63,111.91,82.27,157.0,36.15,41.82
2014-09-24,328.21,112.96,83.33,157.57,36.48,42.28
2014-09-25,321.93,111.7,82.04,154.86,36.06,41.35
2014-09-26,323.21,113.06,82.67,155.72,36.42,41.68
2014-09-29,321.82,113.13,82.75,155.38,36.46,41.71
2014-09-30,322.44,111.91,82.94,155.53,36.81,41.64
2014-10-01,317.46,109.53,81.5,153.36,36.88,41.23
2014-10-02,318.41,109.09,80.85,153.14,36.81,41.1
2014-10-03,322.74,111.01,82.4,154.58,37.11,41.4
2014-10-06,322.2,110.92,82.5,154.89,37.63,41.4
2014-10-07,316.98,108.34,81.15,152.16,37.9,40.89
2014-10-08,322.7,109.8,82.08,155.15,38.45,42.02
2014-10-09,315.37,107.85,79.84,152.74,37.86,41.18
2014-10-10,311.39,106.74,80.37,152.34,38.38,39.55
2014-10-13,306.45,105.82,78.17,150.36,38.03,39.2
2014-10-14,308.31,107.44,78.38,150.59,37.66,39.28
2014-10-15,305.97,105.59,76.46,148.91,37.31,38.82
2014-10-16,302.86,105.68,76.15,147.35,36.73,38.39
2014-10-17,303.64,108.27,78.09,149.16,37.0,39.19
2014-10-20,306.21,109.21,79.67,138.55,37.36,39.59
2014-10-21,315.33,111.68,81.55,133.74,35.11,40.31
2014-10-22,312.97,106.7,81.14,132.56,35.05,39.86
2014-10-23,313.18,107.21,81.97,132.88,35.26,40.43
2014-10-24,287.06,107.39,82.55,132.8,35.41,41.43
2014-10-27,289.97,107.29,82.4,132.63,35.18,41.23
2014-10-28,295.59,108.6,83.78,134.04,35.0,41.75
2014-10-29,294.12,108.13,83.4,133.93,35.35,41.87
2014-10-30,299.07,108.78,84.05,134.66,35.73,41.36
2014-10-31,305.46,109.74,85.13,134.7,36.14,42.17
2014-11-03,305.72,110.72,85.43,134.67,36.08,42.61
2014-11-04,302.81,110.55,84.17,133.27,36.09,42.72
2014-11-05,296.52,109.77,84.77,132.58,36.51,42.99
2014-11-06,296.64,110.09,85.7,133.2,36.5,43.74
2014-11-07,299.86,109.97,83.84,133.7,36.52,43.72
2014-11-10,305.11,110.14,83.64,134.87,36.58,43.91
2014-11-11,312.01,110.78,83.82,134.71,36.69,43.89
2014-11-12,311.51,111.23,83.75,133.57,36.86,43.81
2014-11-13,316.48,113.58,84.3,134.29,36.93,44.56
2014-11-14,327.82,113.87,84.59,135.42,36.88,44.53
2014-11-17,323.05,113.48,84.22,135.42,37.04,44.42
2014-11-18,324.93,115.46,84.1,133.55,37.57,44.05
2014-11-19,326.54,116.3,83.67,133.17,38.16,43.58
2014-11-20,330.54,116.38,82.82,132.52,38.19,44.02
2014-11-21,332.63,117.33,82.87,132.75,38.4,43.36
2014-11-24,335.64,118.95,84.38,133.76,38.2,43.01
2014-11-25,335.04,119.13,85.38,133.44,38.34,42.9
2014-11-26,333.57,119.1,85.63,133.6,38.49,43.16
2014-11-28,338.64,118.73,86.18,133.78,38.95,43.21
2014-12-01,326.0,116.99,86.36,133.26,38.71,43.94
