,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,397.9700012207031,116.80795288085938,70.19249725341797,139.23544311523438,32.4300537109375,32.05732345581055,397.9700012207031,136.6699981689453,76.2699966430664,185.52999877929688,40.65999984741211,37.15999984741211,399.3599853515625,137.25,76.5,187.39999389648438,41.22999954223633,37.400001525878906,394.0199890136719,135.50999450683594,75.9000015258789,185.1999969482422,40.5099983215332,37.099998474121094,398.79998779296875,136.00999450683594,76.04000091552734,187.2100067138672,41.119998931884766,37.349998474121094,2137800,3366700,5200900,4546500,12698600,30632200
2014-01-03,396.44000244140625,117.619873046875,70.04527282714844,140.06845092773438,32.27052688598633,31.841665267944336,396.44000244140625,137.6199951171875,76.11000061035156,186.63999938964844,40.459999084472656,36.90999984741211,402.7099914550781,138.5,76.69999694824219,187.35000610351562,40.72999954223633,37.220001220703125,396.2200012207031,137.0500030517578,76.01000213623047,185.3000030517578,40.349998474121094,36.599998474121094,398.2900085449219,137.05999755859375,76.30000305175781,185.8300018310547,40.68000030517578,37.20000076293945,2210200,3177400,4060700,4063200,10403400,31134800
2014-01-06,393.6300048828125,118.29507446289062,69.77837371826172,139.58815002441406,32.118995666503906,31.168766021728516,393.6300048828125,138.41000366210938,75.81999969482422,186.0,40.27000045776367,36.130001068115234,397.0,139.75999450683594,76.83999633789062,187.36000061035156,40.59000015258789,36.88999938964844,388.4200134277344,137.8000030517578,75.48999786376953,185.3000030517578,40.15999984741211,36.11000061035156,395.8500061035156,139.39999389648438,76.52999877929688,187.14999389648438,40.47999954223633,36.849998474121094,3170600,4196500,6816200,4067800,11036300,43603700
2014-01-07,398.0299987792969,120.08987426757812,70.25692749023438,142.37240600585938,32.2147102355957,31.410314559936523,398.0299987792969,140.50999450683594,76.33999633789062,189.7100067138672,40.38999938964844,36.40999984741211,398.4700012207031,141.10000610351562,76.69999694824219,190.35000610351562,40.720001220703125,36.4900016784668,394.2900085449219,138.5,75.9000015258789,186.3800048828125,40.290000915527344,36.209999084472656,395.0400085449219,138.5800018310547,76.12000274658203,186.38999938964844,40.47999954223633,36.33000183105469,1916000,4238500,4494900,5932300,11872300,35802800
2014-01-08,401.9200134277344,120.3548355102539,69.22618865966797,141.06658935546875,31.855783462524414,30.84957504272461,401.9200134277344,140.82000732421875,75.22000122070312,187.97000122070312,39.939998626708984,35.7599983215332,403.0,141.39999389648438,76.27999877929688,189.4199981689453,40.439998626708984,36.13999938964844,396.0400085449219,139.36000061035156,74.80999755859375,187.25999450683594,39.83000183105469,35.58000183105469,398.4700012207031,140.69000244140625,76.12999725341797,189.3300018310547,40.439998626708984,36.0,2316500,4236100,10900300,4603700,15339600,59971700
2014-01-09,401.010009765625,121.47444915771484,68.93167877197266,140.6238250732422,31.688289642333984,30.651161193847656,401.010009765625,142.1300048828125,74.9000015258789,187.3800048828125,39.72999954223633,35.529998779296875,406.8900146484375,142.52000427246094,75.45999908447266,189.5,40.0,35.90999984741211,398.44000244140625,140.5399932861328,74.31999969482422,186.5500030517578,39.52000045776367,35.400001525878906,403.7099914550781,141.50999450683594,75.45999908447266,189.02000427246094,39.95000076293945,35.880001068115234,2103000,4052500,8052900,4321300,14070200,36516300
2014-01-10,397.6600036621094,121.27786254882812,69.38263702392578,140.5337677001953,32.00733184814453,31.091123580932617,397.6600036621094,141.89999389648438,75.38999938964844,187.25999450683594,40.130001068115234,36.040000915527344,403.760009765625,142.8000030517578,75.51000213623047,188.57000732421875,40.290000915527344,36.150001525878906,393.79998779296875,140.89999389648438,74.55999755859375,186.27999877929688,39.900001525878906,35.75,402.5299987792969,142.7899932861328,75.08000183105469,188.30999755859375,39.959999084472656,35.900001525878906,2679500,4549500,6219000,4022400,13290000,40548800
2014-01-13,390.9800109863281,120.25228118896484,67.43156433105469,138.20729064941406,31.528759002685547,30.176679611206055,390.9800109863281,140.6999969482422,73.2699966430664,184.16000366210938,39.529998779296875,34.97999954223633,399.7799987792969,142.13999938964844,75.12999725341797,186.9499969482422,40.130001068115234,36.02000045776367,388.45001220703125,140.3800048828125,73.05000305175781,183.86000061035156,39.5,34.83000183105469,397.9800109863281,141.5500030517578,74.9000015258789,186.25999450683594,40.0,35.9900016784668,2844900,4462400,8232800,5784700,14091900,45901900
